"FIPS","STATEFP","COUNTYFP","CD115FP"
"1602067","16","67","2"
"1602071","16","71","2"
"1602077","16","77","2"
"1602081","16","81","2"
"1602083","16","83","2"
"1701031","17","31","1"
"1701197","17","197","1"
"1702031","17","31","2"
"1702091","17","91","2"
"1702197","17","197","2"
"1703031","17","31","3"
"1703043","17","43","3"
"1703197","17","197","3"
"1704031","17","31","4"
"1705031","17","31","5"
"1705043","17","43","5"
"1706031","17","31","6"
"1706043","17","43","6"
"1706089","17","89","6"
"1706097","17","97","6"
"1706111","17","111","6"
"1707031","17","31","7"
"1708031","17","31","8"
"1708043","17","43","8"
"1708089","17","89","8"
"1709031","17","31","9"
"1710031","17","31","10"
"1710097","17","97","10"
"1711031","17","31","11"
"1711043","17","43","11"
"1711089","17","89","11"
"1711093","17","93","11"
"1711197","17","197","11"
"1712003","17","3","12"
"1712055","17","55","12"
"1712077","17","77","12"
"1712081","17","81","12"
"1712119","17","119","12"
"1712133","17","133","12"
"1712145","17","145","12"
"1712153","17","153","12"
"1712157","17","157","12"
"1712163","17","163","12"
"1712181","17","181","12"
"1712199","17","199","12"
"1713005","17","5","13"
"1713013","17","13","13"
"1713019","17","19","13"
"1713021","17","21","13"
"1713039","17","39","13"
"1713061","17","61","13"
"1713083","17","83","13"
"1713113","17","113","13"
"1713115","17","115","13"
"1713117","17","117","13"
"1713119","17","119","13"
"1713135","17","135","13"
"1713147","17","147","13"
"1713167","17","167","13"
"1714037","17","37","14"
"1714043","17","43","14"
"1714089","17","89","14"
"1714093","17","93","14"
"1714097","17","97","14"
"1714111","17","111","14"
"1714197","17","197","14"
"1715005","17","5","15"
"1715019","17","19","15"
"1715023","17","23","15"
"1715025","17","25","15"
"1715027","17","27","15"
"1715029","17","29","15"
"1715033","17","33","15"
"1715035","17","35","15"
"1715041","17","41","15"
"1715045","17","45","15"
"1715047","17","47","15"
"1715049","17","49","15"
"1715051","17","51","15"
"1715053","17","53","15"
"1715059","17","59","15"
"1715065","17","65","15"
"1715069","17","69","15"
"1715079","17","79","15"
"1715087","17","87","15"
