FIPS_State,State,Total_Pop_2016,CVAP_2016,Total_Ballots_Cast_Est,RU_Target_VRS,Paperless_DREs_Tier 1,HAVA$_May_Not_Be_Planning_to_Use_Tier 2,"HAVA$_Using_But_Needs_More_Tier 3
",HAVA$_Final_Pay,HAVA$_5%_Match,HAVA$_TotalAward,HAVA$_TotalAward_$600K$3.0M,HAVA$_TotalAward_$3.1M-$5.1M,HAVA$_Total Award_$5.2M-$7.8M,HAVA$_Total Award_$7.9M-$34.6M,HAVA_Cybersecurity-Budget (Consolidated Budget for 5 yrs),HAVA-Cybersecurity-Budget-%-of-HAVA-Total Award,Number_Counties,HAVA-Cybersecurity-$ Per-County,Senate-Toss-up,House-Toss-up,CAP-grade,Voting-Access-Scorecard,InternetVoting ,IV-Uonly-fax,IV-U-only-web-email ,IV-Uonly-limited-web-email ,IV-U-plus-web-email,IV-email-ballot-limited,EPI_2016,EPI_rank_2016,EPI_indicator_count_2016,Post-election-federal-audits-mandatory,Post-election-audits-rating
36,New York,"15,506,000","13,751,000","7,786,881",no,no,no,no,"19,483,647","974,182","20,457,829",,,,,"20,457,829",,62,,no,yes,B,28,no,no,no,no,no,no,0.67713737,42,16,yes,3
37,North Carolina,"7,631,000","6,960,000","4,769,640",no,no,no,no,"10,373,237","518,662","10,891,899",,,,,"4,318,064",,100,,no,yes,B,16,yes,no,yes,no,no,no,0.73585975,27,17,yes,2
38,North Dakota,"583,000","564,000","349,945",yes,no,no,no,"3,000,000","150,000","3,150,000",,,,,0,0,53,,yes,no,C,18,yes,no,yes,no,no,no,0.83262801,5,12,no,4
39,Ohio,"8,811,000","8,499,000","5,607,641",yes,no,no,no,"12,186,021","609,301","12,795,322",,,,,"5,686,021",47,88,,no,yes,C,18,no,no,no,no,no,no,0.76587355,21,17,yes,2
40,Oklahoma,"2,923,000","2,746,000",,yes,no,no,no,"5,196,017","259,801","5,455,818",,,,,"1,250,000",19,77,,no,no,C,37,yes,yes,no,no,no,no,0.5955506,50,16,no,4
41,Oregon,"3,185,000","2,929,000","2,056,310",yes,no,no,no,"5,362,981","268,149","5,631,130",,,,,"2,815,769",50,36,,no,no,B,2,yes,no,yes,no,no,no,0.72224665,32,16,yes,2
42,Pennsylvania,"9,980,000","9,596,000",,yes,no,no,yes,"13,476,156","673,808","14,149,964",,,,,0,0,67,,no,yes,D,32,no,no,no,no,no,no,0.79514921,12,16,yes,4
44,Rhode Island,"836,000","766,000","469,589",no,no,no,no,"3,000,000","150,000","3,150,000",,,,,"734,000",24,5,,no,no,B,23,yes,yes,no,no,no,no,0.73585236,28,16,yes,1
45,South Carolina,"3,733,000","3,598,000","2,123,584",no,yes,yes,no,"6,040,794","302,040","6,342,834",,,,,"525,000",19,46,,no,no,D,28,yes,no,yes,no,no,no,0.79330742,14,16,no,4
46,South Dakota,"631,000","612,000","378,995",no,no,no,no,"3,000,000","150,000","3,150,000",,,,,"500,000",17,66,,no,no,C,39,no,no,no,no,no,no,0.66794509,45,16,no,4
47,Tennessee,"5,057,000","4,872,000",,no,no,yes,no,"7,565,418","378,271","7,943,689",,,,,"1,601,689",20,95,,yes,no,F,31,no,no,no,no,no,no,0.68006825,41,17,yes,4
48,Texas,"20,172,000","17,378,000","8,975,000",yes,no,yes,no,"23,252,604","1,162,630","24,415,234",,,,,"12,000,000",49,254,,yes,yes,D,46,yes,yes,no,no,no,no,0.68767798,40,15,yes,4
49,Utah,"2,096,000","1,969,000","1,152,369",no,no,no,no,"4,111,052","205,553","4,316,605",,,,,"600,000",15,29,,no,yes,C,9,yes,no,yes,no,no,no,0.69546705,37,17,yes,2
50,Vermont,"500,000","488,000","320,467",no,no,no,no,"3,000,000","150,000","3,150,000",,,,,"310,000",10,14,,no,no,C,8,no,no,no,no,no,no,0.86321557,1,17,yes,4
51,Virginia,"6,343,000","5,829,000",,yes,no,no,no,"9,080,731","454,037","9,534,767",,,,,"5,912,930",60,136,,no,yes,C,37,no,no,no,no,no,no,0.79468298,13,17,yes,4
53,Washington,"5,592,000","5,104,000","3,363,440",yes,no,no,yes,"7,907,768","395,388","8,303,156",,,,,"5,014,536",63,39,,no,yes,C,2,yes,no,yes,no,no,no,0.76837945,20,17,yes,4
54,West Virginia,"1,434,000","1,425,000",,no,no,no,no,"3,611,943","180,597","3,792,540",,,,,0,0,55,,no,no,C,18,yes,no,yes,no,no,no,0.77143788,19,17,yes,2
55,Wisconsin,"4,465,000","4,354,000",,yes,no,no,yes,"6,978,318","348,916","7,327,234",,,,,"6,978,318",100,72,,no,no,C,11,no,no,no,no,no,no,0.8442874,2,16,yes,4
56,Wyoming,"436,000","427,000","258,788",no,no,no,no,"3,000,000","150,000","3,150,000",,,,,"300,000",10,23,,no,no,C,28,no,no,no,no,no,no,0.72983348,30,16,no,4
